id,name,email,status,balance,country
108,Sara 4,sara108@yahoo.com,inactive,3009.2,US
109,Tom 4,tom109@outlook.com,active,4298.45,AU
110,Uma 4,uma110@proton.me,active,6755.6,JP
111,Vic 4,vic111@yahoo.com,premium,2837.58,AU
112,Wendy 4,wendy112@gmail.com,premium,7510.63,FR
113,Xander 4,xander113@yahoo.com,premium,1473.39,US
114,Yara 4,yara114@yahoo.com,trial,6112.13,UK
115,Zoe 4,zoe115@proton.me,active,6297.02,DE
116,Aaron 4,aaron116@proton.me,inactive,2439.6,US
117,Beth 4,beth117@gmail.com,premium,2188.19,JP
118,Carl 4,carl118@gmail.com,inactive,9173.78,UK
119,Diana 4,diana119@proton.me,active,4645.97,AU
120,Alice 5,alice120@proton.me,inactive,7192.02,BR
